"BG9000006056"	"ELANA BALANCED EUR FD"	"WPR"
"BG1100007068"	"BENCHMARK FUND-2 AD"	"WPR"
"BG9000006064"	"RAIFFEISEN BULGA. EQUITY"	"WPR"
"BG9000002071"	"MUTUAL FD SOMONY PROGRESS"	"WPR"
"BG9000008052"	"UBB PREMIUM EQU. FD"	"WPR"
"BG9000015065"	"YUG MARKET MAXIMUM MUT."	"WPR"
"BG1100033023"	"ELANA EUROFUND"	"WPR"
"US18450T1034"	"CLEAN POWER CONC.  DL-,01"	"AKV"
"US26850M1071"	"E-GAL GROUP INC.   DL-,01"	"AKV"
"US87260H1041"	"TMM REAL EST. DEV. GDR S"	"AKV"
"BG1100005997"	"BULGARIAN TELECOM CO."	"WPR"
"BG11FOKAAT18"	"FORMOPLAST JSC       BW 1"	"WPR"
"BG1100112074"	"BALKAN PROG.MAN.EAD-SOF."	"WPR"
"BG1100036026"	"ENERGOREMONT HLDG PLC BW1"	"WPR"
"BG11ELSOVT13"	"ELPROM-ZEM JSC       BW 1"	"WPR"
"BG11ORSIAT18"	"ORGTECHNICA AD       BW 1"	"WPR"
"BG1100090064"	"TODOROFF AD          BW 1"	"WPR"
"BG11SLNEAT19"	"SLANTCHEV BRYAG AD   BW 1"	"WPR"
"BG1100120077"	"DALIA EAD            BW 1"	"WPR"
"BG11SVSVAT11"	"SVILOZA AD           BW 1"	"WPR"
"BG1100020053"	"SAF MAGELLAN AD      BW 1"	"WPR"
"BG11ZAGOBT19"	"ZAHARNI ZAVODI    BW 1"	"WPR"
"BG1100106050"	"FIRST INVEST.BK AD SO.BW1"	"WPR"
"BG1100081055"	"INSURANCE CO. EUROINS"	"WPR"
"BG11MEROAT18"	"METZI AD             BW 1"	"WPR"
"BG11LASUAT14"	"LAVENA AD            BW 1"	"WPR"
"BG11SLSTAT17"	"SLANCE STARA ZAGORA  BW 1"	"WPR"
"BG1100026985"	"SEVERCOOP GAMZA HLDG BW 2"	"WPR"
"BG1100109062"	"FIA BULGARIA AD      BW 1"	"WPR"
"BG11SVSLAT13"	"SVETLINA AD          BW 1"	"WPR"
"BG11BAPAAT13"	"BALKANCAR-ZARIA      BW 1"	"WPR"
"BG11INVEAT19"	"INTERHOTEL VELIKO    BW 1"	"WPR"
"BG11PECEAT14"	"PAMPOROVO AD         BW 1"	"WPR"
"BG1100053989"	"BULGAR-CZECH INV.    BW 1"	"WPR"
"BG11VIVIAT15"	"VIPOM AD             BW 1"	"WPR"
"BG11TOKYAT14"	"TORGOTHERM JSC    BW 1"	"WPR"
"BG1100014973"	"CENTRAL COOPERATIVE BKBW1"	"WPR"
"BG1100049078"	"TRACE GROUP HOLD AD - SOFIA"	"WPR"
"BG1100024048"	"DOMOKAT AD           BW 1"	"WPR"
"BG11JVVAAT12"	"YAVOR AD             BW 1"	"WPR"
"BG1100091070"	"SPARKY AD            BW 1"	"WPR"
"BG1100043980"	"RAZVITIE IND. HLDG   BW 1"	"WPR"
"BG11DRPLAT19"	"DRUJBA STAKLARSKI ZAV.BW1"	"WPR"
"BG1100061073"	"HERTI AD             BW 1"	"WPR"
"BG1100038980"	"DOVERIE OBEDIN.HLDG  BW 1"	"WPR"
"BG11SESOAT11"	"SERDICOM AD          BW 1"	"WPR"
"BG1100031985"	"HOLDING ROADS AD    BW 1"	"WPR"
"BG1100098059"	"BULGARIAN-AMER. CR. BK"	"WPR"
"BG1100046066"	"CHIMIMPORT JSC       BW 1"	"WPR"
"BG11PESOBT13"	"PETROL AD            BW 1"	"WPR"
"BG11TRBUAT16"	"TRANSSTROY-BOURGAS   BW 1"	"WPR"
"BG1100089074"	"MART BULGARIA AD     BW 1"	"WPR"
"BG1100129052"	"CORPORATE COMM. BK  BW 10"	"WPR"
"BG11BUSOGT14"	"BULGARTABAK HLDG GRP BW 1"	"WPR"
"BG1100064036"	"DZI INSURANCE PLC-SOFIA"	"WPR"
"BG1100035986"	"FAVORIT HOLD AD-SOFIA BW1"	"WPR"
"BG1100019048"	"INVESTOR - BG AD     BW 1"	"WPR"
"BG1100067070"	"ASTERA COSMETICS AD  BW 1"	"WPR"
"BG11ALBAAT17"	"ALBENA AD            BW 1"	"WPR"
"BG1100005971"	"STARA PLANINA HOLD.  BW 1"	"WPR"
"BG1100049045"	"INTERLOGIC LEASING   BW 1"	"WPR"
"BG1100053054"	"SOFIA COMM.-PAWN BROK.BW1"	"WPR"
"BG11NEDIAT11"	"NEOHIM AD            BW 1"	"WPR"
"BG11VAPLAT16"	"VAPTZAROV JSC        BW 1"	"WPR"
"BG11MOSOBT14"	"MOSTSTROY JSC       BW 1"	"WPR"
"BG11UNPAAT15"	"UNIPAC LTD          BW 1"	"WPR"
"BG11SLVAAT13"	"SUNNY DAY AD         BW 1"	"WPR"
"BG11ZESOAT12"	"SOFIA HOTEL BALKAN AD BW1"	"WPR"
"BG11ORRUAT13"	"ORGAHIM AD           BW 1"	"WPR"
"BG1100036984"	"HOLDING VARNA AD-VARNA"	"WPR"
"BG11SOSOBT18"	"SOPHARMA AD          BW 1"	"WPR"
"BG1100033981"	"SINERGON HOLDING     BW 1"	"WPR"
"BG1200002068"	"SOFIA COMM.PAWN BROK.BW 1"	"WPR"
"BG11EMSEAT19"	"EMKA JSC             BW 1"	"WPR"
"BG1100015046"	"BULSTRAD INSURANCE AD SOFIA"	"WPR"
"BG11KOVABT17"	"ODESSOS SHIPREPAIR YARD"	"WPR"
"BG1100075065"	"MONBAT AD            BW 1"	"WPR"
"BG1100032041"	"INTERLOGIC REAL EST. BW 1"	"WPR"
"BG11SVVAAT11"	"ST.CONSTANTINE+HEL.  BW 1"	"WPR"
"BG11BIPEAT11"	"BIOVET               BW 1"	"WPR"
"BG1100037008"	"SLANTCHO AD          BW 1"	"WPR"
"BG11OLKAAT10"	"LEAD+ZINC JSC        BW 1"	"WPR"
"BG1100008082"	"BIOIASIS AD          BW 1"	"WPR"
"BG11PODEAT11"	"POLIMERI AD          BW 1"	"WPR"
"BG1100018990"	"KATEX AG             BW 1"	"WPR"
"BG11MATRAT17"	"MASHSTROY AD         BW 1"	"WPR"
"BG11KMBEAT10"	"BELOVO PAPER MILL AD BW 1"	"WPR"
"BG11SOSOVT14"	"SOFIA-BT AD SOFIA    BW 1"	"WPR"
"BG1100109070"	"ZARNENI HRANI BULGAR.BW 1"	"WPR"
"BG11BAPLBT19"	"BALKANCAR-RECORD     BW 1"	"WPR"
"BG1100078986"	"ZLATEN LEV AD        BW 1"	"WPR"
"BG1100007076"	"BIANOR PLC           BW 1"	"WPR"
"BG11HISOBT19"	"HIDROISOMAT LTD   BW 1"	"WPR"
"BG1100010971"	"MEL INVEST HLDG      BW 1"	"WPR"
"BG1100039012"	"KAOLIN AD-SENOVO     BW 1"	"WPR"
"BG11ASASBT10"	"ASSENOVA KREPOST     BW 3"	"WPR"
"BG11ELTRAT14"	"ELMA - TROYAN JSC    BW 1"	"WPR"
"BG1100017984"	"HOLDING COOP-YUG AD  BW 2"	"WPR"
"BG11BALOAT11"	"BALKAN AD            BW 1"	"WPR"
"BG11UNDEAT15"	"CORP. UNIMASH AD-PLOV BW1"	"WPR"
"BG1100043071"	"LOMSKO PIVO AD       BW 1"	"WPR"
"BG1100114062"	"EUROHOLD BULGARIA    BW 1"	"WPR"
"BG1100013058"	"EUROTERRA BULGARIA   BW 1"	"WPR"
"BG11LETRAT14"	"LESSOPLAST AD        BW 1"	"WPR"
"BG1100019980"	"INDUSTRIAL HOLDG.BULG.BW1"	"WPR"
"BG11PLPLVT16"	"PLOVDIV YURI GAG.BT. BW 1"	"WPR"
"BG1100079075"	"STOCK PLUS AD        BW 1"	"WPR"
"BG1100004073"	"INO AD               BW 2"	"WPR"
"BG1100041984"	"NADEJDA AD           BW 1"	"WPR"
"BG11HIHAAT19"	"HIMMASH AD-HASKOVO   BW 1"	"WPR"
"BG11PERUAT17"	"PETAR KARAMINCHEV    BW 1"	"WPR"
"BG1100032082"	"CAPMAN GREEN ENERGY FUND-SOFIA"	"WPR"
"BG11FASIAT18"	"FAZERLES A.D.        BW 1"	"WPR"
"BG11KRSOAT14"	"KREMIKOVTZI AD-SOF. /IN BANKR/"	"WPR"
"BG1100093068"	"SPECIAL.BUSIN.SYST. BW 5"	"WPR"
"BG1100064077"	"CBA ASSET MANAGEMENT BW 1"	"WPR"
"BG11MPKAAT18"	"M+S HIDRAVLIK AD     BW 1"	"WPR"
"BG11GASMAT11"	"GAMACABEL JSC        BW 1"	"WPR"
"BG11SIGABT16"	"SIMAT AD             BW 1"	"WPR"
"BG1100001988"	"BULGARIAN HLD CO AD  BW 1"	"WPR"
"BG1100088076"	"BILBORD LTD          BW 1"	"WPR"
"BG1100042073"	"ENEMONA AD           BW 1"	"WPR"
"BG11MAPLAT17"	"MARITZATEX AD        BW 1"	"WPR"
"BG11HIVRBT11"	"HIMCO AD-VRATZA      BW 1"	"WPR"
"BG11DRRAAT10"	"DROUZHBA AD          BW 1"	"WPR"
"BG1100105078"	"EUROPA LINE GROUP AD BW 1"	"WPR"
"BG11ALSUAT14"	"ALCOMET AD           BW 1"	"WPR"
"BG1100041000"	"SOPHARMA LOGISTIC.AD BW 1"	"WPR"
"BG11ZLVAAT14"	"ZLATNI PIASATZI JSC  BW 1"	"WPR"
"BG1100107066"	"WHITE LAGOON AD      BW 1"	"WPR"
"BG11ELLOAT15"	"SPARKY ELTOS AD      BW 1"	"WPR"
"BG1100100038"	"BULGARIAN RIVER SHIPP."	"WPR"
"BG11BAKABT17"	"BULGARSKA ROZA-SEV.  BW 1"	"WPR"
"BG1100008983"	"HOLDING SVETA SOFIA  BW 1"	"WPR"
"BG11BLBLAT13"	"BLAGOEVGRAD BT JSC   BW 1"	"WPR"
"BG11HIYMAT14"	"HYDRAULIC ELEMENTS+SY.BW1"	"WPR"
"BG1100007993"	"INDUSTRIAL FUND AD   BW 1"	"WPR"
"BG11VAVAGT15"	"VARNA-PLOD AD        BW 1"	"WPR"
"BG11PLPLGT15"	"CIGARETTE FACTO.PLOV.BW 1"	"WPR"
"BG1100019022"	"OIL+GAS EXPL.+PROD.AD BW1"	"WPR"
"BG1100046983"	"ALBENA-INVEST HLDG   BW 1"	"WPR"
"BG1100016077"	"BGI GROUP AD-SOFIA"	"WPR"
"BG1100065983"	"ECONOMIC+INV.BK (EIBANK)"	"WPR"
"BG1100063988"	"YUTEKS HOLDING AD"	"WPR"
"BG11KAGAAT13"	"KAPITAN DYADO NIKOLA BW 1"	"WPR"
"BG1100033064"	"ADVANCE EQUITY HLDG  BW 1"	"WPR"
"BG1100011995"	"ZLATEN LEV HOLDING   BW 1"	"WPR"
"BG11DESOBT17"	"DESPRED AG           BW 1"	"WPR"
"BG1100004982"	"BALKANTOURIST ELIT AD BW1"	"WPR"
"BG11MESAAT13"	"MEDICA PLC           BW 1"	"WPR"
"BG1100009981"	"TK-HOLD PLC-SOFIA NAM.BW1"	"WPR"
"BG11DESLAT11"	"DECOTEX AD           BW 1"	"WPR"
"BG11KAPAAT12"	"KAUCHUK AD           BW 1"	"WPR"
"BG1100095071"	"MEKOM AD-SOFIA"	"WPR"
"BG1100010989"	"INDUSTRIAL CAPITAL HD.BW1"	"WPR"
"BG11ELPABT16"	"ELHIM-ISKRA          BW 1"	"WPR"
"BG1100087987"	"AROMA AD             BW 1"	"WPR"
"BG1100086070"	"SOPHARMA TRADING     BW 1"	"WPR"
